label,detokenize
0,tolol nya pagi
1,ih tolol nder
1,eh tolol bocah cacat situ perangkat desa langsung pusat goblok pikir kontol urus lonte goblok
1,he tolol orang fitnah ban diam ngelunjak kadrun kasih sempat tebar fitnah omong fakta bukti tuduh bukti
1,ajak teman minum aneh turut nakal ya nakal tidak usah ajak tolol jelek nakal nak teberak
1,orang tolol kasih ya
1,kemarin orang tolol
1,pagi pagi orang tolol
1,teh botol teh kotak tolol otak goblook banget taeek
1,malas tau orang tolol banget
1,tolol suruh prestasi lebih dahulu tolol
1,sama saf begoo tolol man
1,sih tolol ulah sih pintar tanggap simak sih tolol ulah
1,tolol
1,tolol anjing hantamin piring muka mbak nya
1,tolol cape
1,ih tolol tolol
1,tolol
1,presiden nya bohong mulu
1,eh tolol tolol dasar anjing orang cacat goblok salah tukang gibah ha anjing urus keluargalu kontol
1,goblok tolol pelihara buang pintar anjing ngembe
1,tolol banget laku
1,nder bas ya tolol
1,sih gubernur bilang mundur ampuh lawan bijak tolol mogok sekolah massal provinsi ntt demo
1,tolol wkwk
1,ih takut manusia tolol
1,orang tolol muncul
1,pagi pagi bawa laku orang tolol lini masa
1,sakit jiwa ya butuh data dirilu tolol amit nih rumahlu orang tidak akan peduli
1,wkwk sih cowok hujat habis habis gilir sih cewek ambek manusiawi wkwk tolol bela kaum doang pikir sisi
1,sih nder dasar tolol
1,presiden utang tolol susilo bambang yudhoyono utang diam tolol manusia manusia sampah kayak
1,paansih tolol
1,mabuk ya tolol murni
1,tolol anjing
1,tolol sih percaya ya janani balas deh
1,gejala tolol nama
1,nih tolol t cowok ulsdvdmlk
1,tajir biasanye ajar tolol kayak t cowok lneunsynxp
1,muka kayak kodok injek gaya tolol muka jelek laku buruk bunuh setan suka banget nih model kayak gue harap sih mati makan setan
1,orang intelligence quotient opini tolol intelligence quotient opini tolol ya tolol
1,nih nyinyir tolol buta literasi t cowok hnsaeitr
1,sih tolol
1,dengar orang tolol banyak main tiktok
1,ekogoblok kiamat tolol
1,uang hasil game tolol kack t cowok qpqsjuif
1,orang tolol proses bebas lahan penting
1,berita edar sih tolol oceh pos satpamnye doang berani masuk gedungnye terima
1,tolol banget nih orang keluarga laku viralkan biar kena sanksi sosial gedek banget gue orang tidak punya otak main bunuh balas nyawa
1,ih tolol
1,opini homo tolol mulut bau mending diam deh
1,sumber dana dari mana tolol eh baca berita klop tolol pakai kuadrat
1,cape lihat orang tolol liar hukum mati langsung sih biar jera perilaku seruoa
1,tolol li wkwk
1,standar data warga anjing data ikut serta program perintah bantu data sensus pilih umum bawa teman berisik masuk teman lawan jenis tegur tolol
1,sok iya tolol
1,tolol makan privasi anjing
1,orang tolol di sini
1,nama messi nya tidak akan tambah lahir orang tolol kayak
1,tolol nder orang data data warga tinggal pas lapor rt data warga
1,pagi lihat orang tolol
1,kasih pahamm benci bikin tolol maniak politik wkwk
1,kocak tolol
1,orang tolol nama
1,halu kakak opi tolol
1,tanya tolol
1,keren hebat bangga char kayak pamer tolol
1,sori butuh opini orang tolol
1,tua tolol hina an lawan dukung anies dan lain lain sila peduli setan tidak usah hina adat budaya orang ya kampang kesini habis kampangg
1,syarat kadrun tolol ngeyelan
1,cewek tolol pacar susah
1,tolol jijik
1,tolol ih
1,bumi pijak situ langit junjung alias tolol
1,gue bilang buka twit lihat tengkar iya lihat orang tolol t cowok naeatznvfa
1,jelek tingkah bunuh orang tolol
1,ada laku nasionalis tolol tau budaya negara
1,pagi suruh pikir dunia ngewe an bangsat habis manusia tolol
1,bilang pro negara satu republik indonesia isi hina adat istiadat budaya indonesia moga busuk kerak neraka deh budaya daerah gue lampung tolol
0,wkwk orang pajak ya tolol banget dapat jelas harta ribet urus wkwk
1,twitter bangak orang tolol
1,aduh tolol
1,tolol bantu warga songong songong banget orang hidup tau
1,tolol barang ganti kurir nya
1,orang tolol t cowok bqrbvoj
1,iya sih tolol bodoh lu tolongin orang jatuh huni gelap
1,ya elinya bodoh tolol
1,tolol karya majikan buang anggar rusak jalan
0,coba balik hehe
1,pagi tolol tom
1,tolol pilih kapten latih timnas dunia bajkan mbappe kalah posisi
1,ya tidak usah lihat lanya tolol lihat kartun ribet
1,iya em tolol
1,bocah tolol banyak ngelem bujang
1,kayak orang tolol ya anjing pagi maret
1,nih orang tolol ya sih privasi bangsat
1,orang tolol salah pelatin kapten timnas dunia
1,tolol cebong sakit hati t cowok ahircqpf
1,nder tolol banget yatuhan kartu tanda duduk tetangga ya tidak usah kasih wkwk hati ya rumah tidak ada nolong tak tau
0,gue tolol iya
1,kasihan sih anak anak nya tolol
0,buzzerp tolol dan kawan kawan taro muka
1,orang tolol ya miris
1,ayo otak pakai orang tolol media sosial ujung klarifikasi minta maaf
1,tidak bisa bicara ya orang tolol gue gebuk
1,omongane orang edan pakai logika banjir jakarta anies henti hujan ekstrem anggt dewan tolol
1,dongok banget nder sumpah tertawa kasihan orang tolol ketua ya wajar data kartu tanda duduk bawa tamu inap rumah wajib lapor serahin fc kartu tanda duduk tamu maaf nih ya mati rumah urus ya tolol
1,bacott segera nikah mudah tolol
1,bilang leceh jig tolol
1,sih keluh tolol t cowok ztftpaqyle
1,tolol
1,opini balas opini tidak usah bawa fisik opini tidak ada bicara fisik otak mana cerna opini bahas fisik selera salah ratain goblok tolol
1,tolol percaya diri
0,tolol kali bang adooh
1,ih goblok sok tau kuli tengil tolol bayar utang keburu tinggal t cowok hvphvlxd
1,iya tolool gobloog dongok data warga tolol mati situ repot cari data dgituin tinggal tengah kebun karet dongok
1,bodoh tolol goblok gue kasih bego deh
1,ih tolol banget
0,tolol sih dungu
1,tolol umbar umbar
1,tolol malu malu nder
1,tolol jamin gaakan hidup tenang nder
1,koen goblok a warga datang wajib data beli rumah di situ wajib lapor tolol
1,tolol kah nder data data duduk area situ bodoh deh di mana orang pindah wajib lapor rt rukun warga pindah rt situ sopan emgny tinggal jalan kubur
1,pdhaall sher iya anjing aiden tolol
1,sepada bagus ya sayang tolol
1,tolol bego goblok lolok ha orang gila gue aneh banget anjing
1,tolol anjing fan tolol
1,bijak tolol
0,juju gue tolol banget iya sih goblok
1,sih galak tolol
1,kayak bocah tolol nder
1,tolol marah tolol
0,tolol dna
1,tolol banget nder wkwk
1,orang tolol seliwer
1,tolol sumur resap biopori program internasional goblok bikin sumur jalan raya
1,galak kocak tolol
1,contoh manusia tolol
1,muncul sender tolol
1,tolol anjirt data ya isi data data duduk situ apapa gampang anu goblok
1,orang biadab tolol nya tolong mudah ambil nyawa orang main paksa minum alkohol kadar gila sih nih laku beli hukum gara gara bapak polisi sakit deh sakit jiwaa
1,kayak orang tolol
1,tolol moga butuh urus apa dipeduliin sok iya banget
1,twit orang tolol t cowok cpvetcqii
0,tolol tolol
1,ih tolol
1,racist racist tolol wkwk
1,ih orang tolol kayak nder
1,ya orang tolol keren
1,duh buka mata orang tolol
1,wkwk tolol ngekos suka kartu tanda duduk data bantu tidak ada tau lingkung hidup hutan tidak mau usik
1,hati keren gue tolol wkwk data aduh
1,allah tolol banget kayak setan
1,tolol gubernur sih
1,tolol tong anjing peking babi panggang komen konten video pamer spesifik orang golong maksud kayak banci
1,tidak jelas tolol
1,tolol banget butuh data privasi lihat kondisi ganggu anjing kesal banget gue pagi lihat tolol
1,cari perhati tolol belakang iya begitu kali
1,ih tolol
1,kirim tolol banget haha
1,dukung tolol t cowok zeabjmkco
1,maaf ya bikin gaduh sender sakit bawa tahu gue tolol enggak salah nama
1,kayak orang tolol ya
1,keren kali ya najis tolol
1,bukti betapa tolol gerombol cebong caci maki formula e politik kecewa cebong tolol gusti allah tidur t cowok ctdwpcpjj
1,partai komunis indonesia tolol salah jakarta gubernur saran manfaat banjir jakarta tuju politik gubernur kewalahan
1,rasa tinggal ya pantas saja tolol mana butuh kartu tanda duduk data anjink aneh aneh luat nasar
0,gue begitu emak gue coba baju gue beli gue suka baju gue ngerasanya pas pakai kaca eh dikomen tutup kurus banget gue terima gue anjir begitu ya gue insecure tolol
1,dewasa kontol umur tua sikap kayak bocah tolol
1,pagi lihat orang tolol
1,kirim tolol ngekos ngontrak pindah rumah amerika dunia wajib kasih data perintah rt apa biar mati dadak bantu urus tolol
1,pikir anjing ngentotnya nopember januari haid tidak ada buah tolol
1,orang tolol ya bilang teman yatim pengaruh kasih efek jera bentak apa main fisik
1,affh iya kumpul orang bodoh nan tolol
1,wkwk sih tolol
1,dua tolol
0,gila fana madrid watak ya tolol bego bingung pilih wkwk
1,sender tolol dunia nyata anime goblok
1,apa sih tolol rt nama hidup masyarakat tinggal hutan tahi
1,jaka sembung bawa golok sambung cebong goblok sambung cebong tolol pura tau mah t cowok zeabjmsw
1,logika jalan tolol
1,gue percaya oceh orang tolol jenis cebong
1,biar tolol anak
1,bijak tolol landas data langkah emosi ya niat lama ajar pulang lama masuk cepat
1,bla bla wajar jabarin tau sih putri tolol lupa maaf
1,ih tolol
1,tolol
1,tolol kalimat indosiar bawa upil jerome
1,ih tolol banget t cowok wnhxaqwrm
1,akibat cebong tolol awet mola curang cebong tolol tau tulis sumur resap t cowok zeabjmsw
1,bayar pajak rubicon bocah tolol
0,tolol ngeyeell ya teman akwosksosmaoskaoksozkaoak emosi lebih tisu kasih air anjir gurinjay banget akwosksosksosksok bignung
1,alah tolol
1,orang tolol
1,tolol bego
1,ih tolol rt data urus ya anjir percaya diri banget
1,teman kelas bawa asa malas banget setan maki gue adab dahal kayak setan anak nya tolol anak plosok tau
1,tolol tidak pernah prestasi ya tau curang prestasi
1,ya capai citra amp etika biar orang percaya pajak pakai boros pegawai sial bocah tolol tutup
1,jahat kerja sih tolol
0,konteks sih anjir tolol dunia wajar bilang privasi nder ya wajib tau wajib lapor
1,tolol
1,anak anak banget laku nya tolol
1,sender tolol data kartu tanda duduk privacy data kartu tanda duduk bocor entot goblok
1,tolol tolol tolol laku tolol banget anjj alkohol benar bunuh orang minum coba anjing gemas banget
0,tipu tolol
0,hlah ya orang tolol bangga
1,langsung tinggal anak orang cekok alkohol anjir minum ajak alam barzah sih laku minum bahaya suruh orang biar ya orang sakit tolol banget
1,tolol sih elon
1,sok sok galak bodoh banget tolol goblok
1,orang tolol sok asyik ya nama huni ya mesti data
1,ih tolol
1,orang orang kayak bikin nyensus berat banget tolol umbar
1,didu tolol jalan tol milik negara serah kelola swasta itu jangka habis panjang serah negara pasu situ bodoh bego
1,aduh laku laku ya anak jaman kayak kampret sopan minus minimal tolol borong
1,homo tolol beda laki perempuan tidak bisa homo tolol
1,politik kecewa ya cebong tolol
1,tolol layak usir
1,konyol tolol
0,bingung opini puja terima ejek urak wkwk tolol
1,anjing akun tetes gue laden ya gue ikut tolol kayak akun kayak musnahin sampah t cowok svvptotc
0,rumah gue tolol
1,tolol jahat qisas
1,ih tolol
1,tolol banget asliik
1,tolol anjiir wkwk
0,orang strss brobat ya biar eng kurus kayak ferdinad ya wahai manusia tolol dasar t cowok guugedlee
0,hahahh cocok bertei lupabwa dokter jiwaana gejala ganguan jiwa stres pikir anies orang tolol oke t cowok yvwxhnuh
1,orang tolol
1,remaja tolol wkwk
1,kondom sesuai standar fda bodoh kondom bhan terpal sesuai fda tolol
1,tolol pemuda putra putri indonesia beda anjing kadrun ubah negara satu republik indonesia khilafah aku negara satu republik indonesia
1,ih tolol
1,kocak tolol susah tolong mana idih idih
1,ya tolol makan nafsu
1,agama batas pakai batas teriak teriak batas fanatisme membabibuta tolol
1,gue mihak sender pas baca gapeduli situ eh tolol data dicatet duduk biar orang tau hidup tidak apa apa deh mati orang mending tak tau biar mati tidak ada urus biar mati glinding ya
1,sikap kayak rugi orang tolol banget tetangga kayak tolak kasih data dan lain lain terris ledak rumah tau
1,tolol paitnya tinggal dalem urus iyepss
1,tolol banget anjing
1,fantasi tolol sebut teume njs banget kesal
1,sih tolol bacot modal gambar
1,contoh orang tolol nyata ya sist tidak mau pendam bodoh nya bodoh pamer khalayak ramai
1,tolol goblok dongok idiot belakang mental tinggal di sana repot warga idiot
1,mati tolol
1,sayu sih
1,lingkung undip lawak tutup stressan
1,bahan mnpun perintah senang parah demokrasi sama partai komunis indonesia goblok akut orang mau khilafah tolol bubar negara satu republik indonesia kepala penggal arab kacau negara
0,habis nasi bungkus bebacot tolol hahagha
1,tolol sama ratain standar situ lupa naik
1,jabat tolol
1,video kayak orang tolol t t lihat oni anjir
1,bong serius bong kepalang malu ya junjung atas banjir bacot tolol pelihara
1,bangun negara tolol
1,data tolol kos elemen masyarakat kos terang sopan banget omong
1,ya tolol bahan coli publik gue
1,contoh orang tolol bin goblok t cowok fjqkeavlb
1,biar sih ting beking nya aparat teh nyawa main tolol anjing banget manusia setan kayak
1,rekam jejak onta rabies satu kerja tolol wali kota depok
1,tolol banget galak tidak apa apa nder galak salah hadu
1,galak sih tolol
1,tolol mending hidup hutan bego keren najis kasihan nya niat bantu nya sok sok
1,base kirim tolol tolol
1,bocah kenapa sih sok keras jabataan bentar kena tolol
1,sih tolol wkwk
1,sih rafi adrian muka jelek otak tolol
1,tolol sih gue nder
1,anjing kesal baca anak polisi kayak nya tolol banget
1,ih tolol kesal banget pagi pagi
1,dasar orang tolol
1,iya demit kw berita wkwk tolol t cowok vkctvcmrur
1,tolol gratis cuk borong
1,tolol sih nder
1,by the way banget drama nya gue bangun jam gue barharap bangun jam asyu nya gue idupin alaram mempan anjing terus gue video eh malam tiktok nya gue hapus tolol gue beli kaca mata pecah belah anjing kayak retak ah kesal banget
0,wkwk tolol nya murni banget
1,ya goblok beloon tolol embat
1,jam malam sekolah ngeronda kampung atur sekolah beres koslet isi otak didik tolol goblok nya tambah
1,tolol sih kasih tau seko didik tahu data duduk mampus dianggep hayolu
1,anak mantan ketua data duduk tolol warga ya wajib nyerahin kartu tanda duduk kakak data rt gaul ya tidak apa apa tolol
1,bentar pilih presiden pilih legislatif goblok ya ambil data tolol langsung telepon tidak usah panggil sensus langsung betasemen khusus
1,anjing pagi gue emosi orang tolol maaf tolol kayak heran
1,asma tolol logika nalar tulis talenta
1,sender tolol goblok skip malas gue tanggap orang tolol
1,ih tolol cari atensi di sini hujat
0,goblok tolol kontol anjing anjing
1,goblok banjir ngeles jilat tolol ya
1,wkwk tolol data dkumpulin maksud bawa teman lawan jenis kali alias sih khawatir kumpul kebo lingkung
1,najis orang banyak tolol ya hidup hutan
1,tinggal rumah rt nya ya wajib goblok kartu tanda duduk rt tolol bocah bau pesing nih diizinin rumah kah laku kayak primitif tidak ada etika sopan santun ilmu tahu tidak punya goblok
1,anjlok sih kemarin benar kayak bocah tolol banget coyy ngang ngong kayak kodok
1,keren tolol iya
1,pagi pagi emosi ya tidak mau usik mending tinggal amazon sakit banget nih orang bocah tolol
1,tau undang undang film indonesia tolol banget
1,bot hina tolol ya budaya baca
1,ih tolol nder data kartu tanda duduk biar data goblogg
1,goblok ya rt data ya data duduk wilayah tau nama nya sensus duduk keren tolol jatuh nya
1,dunia maju tolol tolol aduh
1,orang arogan tolol
1,aduh buka twit muncul orang amp tolol
1,ah gue kasih kuota pilih anies rasa pimpin anie langsung
0,sadar enggak sih tolol ekspektasi tolol awoakwokwo
0,wkwk survei sih dencock jadi acu ajar cebong andam kolam otak rembes masuk air
1,lu tolol eh sok iya bangsat
1,wkwk tolol usir
1,dideketin kucing nya kabur ya bangsat anjing kontol memek ngentot tolol gue foto jarak kontol
1,ruwet gubernur terang terang suka tonton bokep
1,replyannya leo budak cinta tolol
1,tolol jir wkwk
0,wkwk bilang fan dodog tolol
1,copa tolol copa kontol idiot
1,data urus lingkung aman data ganggu apa sih tolol banget
1,mantan tolol kasihan pacar aduh
1,putus hubung deh moga dua moga sih mental emis pakai kode eh tolol manusia ya cenayang bilang the point begoo lapor base rusak pikir
1,urak tolol iya
1,sipaling anti rasisme eh tolol demit
1,kapak bbc bangkrut biar lepas agens tolol
1,nih serius nih pagi tolol
1,gubernur jakarta tolol angkat sih raja plonga plongo
1,hadaah pagi pagi temu orang tolol
1,diam aku tolol
1,moga titik terang halo salah tolol
1,pantau laku tolol tau malu serakah t cowok lfissjyvz
1,lo sender tolol kartu tanda duduk privacy orang asing tuju nya ketua rt kartu tanda duduk wajib blokk tidak ada privacy privacy an ditanyain sim polisi bilang privacy
1,ih tolol
1,inti tinggal masyarakat bodoh usik atur situ ya keluh kucil tau datang tolol erti prinsip sederhana bumi pijak langit junjung
1,atur milik kos kayak ya anjing kos indekos nenek moyang tidak mau atur mending tinggal di hutan babi tolol pelihara
1,keras tolol bacot doang gede
1,waras amp kepedean ya nder ya tugas nyatet data duduk situ bodoh tidak usah geeran usik bodoamat ada tinggal wilayah nya nih halal injek warga super duper tolol
1,astagfirullah pagi lihat orang tolol kayak
1,eh tolol rt rukun warga luas t cowok nmyztkard
1,lembaga swadaya masyarakat emis hybe hybe salah stan tolol tolol stan
0,tolol bangga wkwk
1,cebong ngeles koar koar sontek ide alias goblok solusi mudah mudah banjir cepat surut enggak benar give away beda bong program no pintar alias tolol
1,suruh asli suka duit barang orang ngehibur usaha ngontrol duit ilfeel senang tak tau tolol sih untung kayak hidup
1,ya data tolol
0,mancing doang sengaja tolol laden wkwk
1,tolol masyarakat
1,tolol nih orang
1,diam tolol
1,korban sih jago nyebokin bos kerja hasil tatak bagus argumen pakai data tolol bangga bos kalah prestasi jaauuh anies jaman ahok bis tj beli bakar amp korban
1,gila ragu tau tolol goreng lanjut masyarakat muak kelompok ayo bepikir waras
1,maaf orang tolol cak level di atas laden
1,norak data dasar orang tolol
1,bipang makhluk tolol kasih nama aneh aneh
1,fakta resap di jalan negeri resap ya dijlan aman ya ribu korban resap ribu bong eh jalan lubang man bikin orang celaka jalan gubris perintah otak tolol iya
0,fandom nmixx sakit perkara logo ejek
1,orang tolol
0,pikir tolol
1,tolol kencang
1,laku warga selonong masuk kampung izin mana kartu tanda duduk kakak jadi syarat verifikasi warga ya tolol
1,ya beda orang anies tim pakai otak fakta jkta sukses atas banjir lihat resap heru kemarin wali kota jaktim bikin resap puji heru jalan tolol halu junjung pakde pnter iya normalisasi tolak efektif
1,orang tolol marah pikir ya kali jabat mudah kendara yatim piatu
1,simpan opini tolol mu sarap pagi mu nak
1,tolol maki orang bodoh dasar kenal orang maki orang bodoh wkwk otak mu atur tolol nimbrung mari maki orang bodoh lawak badut
1,nder gue pergi rumah tumpang tidur masjid gaya gaya an pergi rumah susah orang tolol
1,simpan opini tolol mu nak just info manchester united kali juara pl keluar duit milliar euro angka besar klub dunia
1,simpan opini tolol mu diri nak
1,sih erti isi twit gue kartu tolol otak baca coba twit gue kartu bego iya heran he cetol cebong tolol sekolah iya air alir rendah deh
1,sih tolol data warga tinggal utan hak data fc kartu tanda duduk warga apa lagi apa tolong tau teroris maling kriminal kontra si di tempat gue orang ngontrak kasih fc kakak kartu tanda duduk langsung suruh
1,budak cinta tolol bawa asa
1,bang bang gemar korea pop tolol maklum gemar korea pop pintar kayak bang kwwkwkkw
1,bot tolol
1,tolol sih galak
1,orang tolol cocokologi ya model cebong wkwk
1,kasihan banget nya kedapetan warga tolol kayak tau sih direpotin lebih dahulu tetangga data wajib buron ya
1,ning konyol tolol
1,tolol
1,orang tolol komennya
1,tolol ukur pola pikir primitif
1,orang tolol kayak yamg kubur mati
1,bikin celaka ribu sumur bikin celaka mobil orang psi sengaja mondar mandir sumur anggap celaka orang sekolah otak pakai coba gue lihat orang anti anies argumen mentah bebal tolol
1,ih pagi buta lihat orang tolol wajib data duduk bego teroris odgj bahaya warga sok iya banget anjing
1,perkara usik data tolol jaga privacy data warga sender tolol banget pikir otak fungsi orang kayak emaknya kata ejek
1,tolol
1,gue bilang tolol banget maaf fakta kejut
1,orang tolol
1,he tlol keluarga data rt bantu pilih presiden pimpin tinggal data anjing tolol banget gede
1,tolol anjing
1,tolol ya obrol
1,ih najis sender nya tolol sekepo ganggu anjing data duduk makhluk sosial hidup mati ngubur ha
1,tolol sakit anies bijak tiru
1,tolol piara biar bijak anies dilanjutin sih heru enggak benar kerja
0,yaelah perkara cari berita doang tolol handphonenya doang pintar maaf gue ralat berita gue lupa aku almarhum eks manajer timnas main aku ya laku aku t cowok nmpjcieo
1,sjw berak lancar anjing tolol
1,bot kontol literasi tolol baca bot bagsat
1,maling bakar rumah urus ya tolong tolol borong
1,wajar sih goblok mangkanya makan nasi micro nutrisi makan pejuh biar tolol sebut tinggal hina sadar hina t cowok heebntvgt
1,bacot anjing jelek tolol
1,nih gubernur pintar gubernur tolol
1,bangsat tinggal beli tolol
0,tolol terima
1,singgung tolol
1,buka twitter berita orang tolol
1,pedenya unggah biar bilang manusia eh tolol banget wkwkww
1,goblok anjing sensus duduk tolol data duduk anjing anjing tolol banget sih ngentot amit mati di situ warga tau asli anjing kontol ya
1,atur gubernur tolol pegawai negeri sipil masuk kerja jam pagi biar balap ayam kokok
1,hubung tampil kali tuit tolol
1,bodoh tolol nya cibochak nih
1,tolol ulang
1,sok keras tolol wkwk apa nolong tetangga rt lebih dahulu fakk orang arogan banget t cowok zjtkfkw
1,wkwk tolol anjink
1,roma tolol hancur bon gue cuk
1,apa sih tolol alay tenang tembok kamar mandi goblok
1,baca sih anjing tolol banget
1,homo tolol kasih hidup ya
1,tekan jalan rutinitas tolong sama tolol
1,tolol sih roma
1,tim tolol sampah
1,sih disney tolol banget
1,umur nder maaf tolol pola pikir nya rt data ingin tahu doang he data guna salah nya mati rt tau identitas keluarga
1,hidup hutan tolol
1,budak cinta kak tolol
1,ruwet jokowi tolol
1,tolol laku bodoh
1,anjing kasihan banget rt nya hidup sosial hutan mbak tolol kartu tanda duduk kakak foto swafoto mbak pinjol data tolol jaga aman nyaman rt nya tugas beliau blok
1,orang tolol
1,wkwk stres iya drun habis jatuh jokowi tolol banget drun orang tuduh suruh bukti
1,gue gebuk iya tolol
1,tolol bacot
1,akun denial tolol konstitusi negara etnis negara indonesia semenanjung indonesia cina murni etnis melayu ketua partai umno milik turun etnis jawa aku etnis melayu sultan semenanjung aku etnis melayu
1,tolol
1,apa sih aul tolol
1,tinggal tolol
1,sih tolol salah sender resign bayar utang miskinn kesal gue t cowok dszjls
1,woi berita mario doang bilang david koma tolol ya terpa info berita baru agnes mario shane sangka utama cerita gaya mario mukul pecndng
1,muka kayak tapir heran gue cewek goblok tolol
1,orang tolol selesai laki cipta tuhan otak pikir wanita baik pikir pukul dasar otak cetek
1,maki gue tolol mending kaca kack
1,makan tolol
1,goblok sambung anjing bawa front bela islam sampah anggota bunuh tol otak udang anjing haha ih tolol banget organisasi masyarakat pantas saja bawah organisasi masyarakat tolol manfaat ya kayak goblok main minimal mandi bang
1,gue pencet tolol anjir
1,uang ngerampok encek sewoot anies cebong tolol permanen t cowok gotcdmrax
1,mana ot nya tolol buta mata
1,ya tidur tolol
1,anjir tolol lupa banget taro manaa
0,ijazah mntereng bicara jago keluarga oke kerja kali hitam busuk tutup pakai waring ngabisin anggar toa banjir tolol banget ngabisin duit gugat warga keruk kali konyol banget banget
1,baca tolol pelihara adu orang isi kosong
0,tolol kayak malas gue pikir pacar anjing
1,kayak otak tolol
1,buka twitter kabar orang orang tolol
1,wkwk suka lucu kau bang goblok ya minimal tolol
0,dengar stetmen tolol gue kapten haddock deh biar puaas menhumpah serapah
1,tolol biar ceunah mending karantina bang
1,bahrawi tolol dadak
1,gubernur tolol
1,haayy bolehdong jebejebe budek tolol
1,tolol
1,main liga tolol hehe
1,tuju emosi nengo kapten roma banyak nyia nyiain tau kalah kayak monyet lemas main tolol
1,ayangku cantik sih tolol turut ganteng
1,cewek tolol cookk
1,orang tolol idiot binatang pilih gubernur
0,ngorok makan kecap suara tolol wkwk
1,kayak orang tolol
1,tak tau cowok malam tengkar isi kepala tidak usah tambah bikin tuduh tuntut tidak pernah cerita ya pusing pikir tolol tidak usah jadi sibuk cowok alas udahan
1,tua tolol wkwk
1,orang tolol bilang mati bukti
1,sakit hati banget ya allah diam sih anak orang gebuk anjing tolol
1,kiai pesan implisit maksud kiai said aqil turun gunung parah banget goblok banget bela uang rubicon tolol
1,orang tolol ruto orang acting beli kadang main risih disangkutpautkan mulu manusia lurus dishipin jijik ya kesal banget model manusia haus shiper babi
1,tolol pijar anjing wkwk
1,manusia tolol kayak
1,aduh sih laiskodat bikin bijak tolol idiot
0,sih agens wkwk malu tolol
0,haha khas kadrun goblok otak hampa bilang narasi miskin narasi teriak tolol kejang curut got nya kadrun argumentasi wawas otak hampa dukung bacapres sampah
1,goblok tolol sambung
1,tolol
1,akun denial tolol sultan semenanjung aku etnis melayu
1,manusya manusya tolol
1,tolol decckk
1,buset maki kaum tolol kb banget ajar etik pin
1,tolol minum parcet tanggung
1,wkwk gblok tolol polisi tolol masuk polisi susah bodoh
0,ih gue suka gendutt anjing wkwk putus hina tolol tidak apa apa tau kualitas manusia nya
1,bego bikin akun ramai komen tolol
1,ih soasik tolol
1,nugas tolol
1,tolol
1,aduh tolol stan
0,maret tolol
1,tolol anjir wkwk
1,bacot bicara orang tolol
1,wkwk kasihan ya dik keluarga masak tanggung pribadi keluarga masak ya mbak ayah kakak adek masak wkwk mbak tolol masuk perang twit enggak sadar opini tolol
1,tuju beda sumur heru serap air sumur wan tolol serap anggar
1,kepala isi tahi muntah kucing tolol banget
1,tolol
1,ikut ideologi tuan melayu aku milik turun etnis jawa murni etnis melayu serta budaya akun denial tolol sembah sultan melayu semenanjung t cowok lfwmugny
0,gue ngedengerin orang bicara kadang serep energi gue berujunh ajak bicara kayak orang tolol
1,sih noni bilang legalitas hak reyna sungguh bodoh tolol ya noni maaf maaf nih ya modal sperma doang bangga nya mampus noni sujud hadap aldebaran tau
1,tolol banget asli bela gembok
1,nih cebong biar tolol t cowok dzvgvt
0,tolol gara gara cinta monyet sok sok mati wkwkkwkwkwkwk lucu
1,pens tolol tak tau komen cari tau nya ikut komen ya tolol bin goblok nya wkwk
0,kilas gue peka gerak cepat amp tolol kali t cowok qnleogee
1,puas tolol
1,tolol banget
1,temu nih komen tolol pens lahir lobang pantat klub tidak pernah belanja main nya belanja benah ya juara epl iya
1,minimal sekolah kelas gerbang goblok bin tolol
1,kurang rakyat tolol
1,definisi budak cinta tolol
1,tolol tolol wkwk
0,gue orang bulol budak cinta tolol kayak
1,bocah tolol banget pikir
1,dunia sehat kenan sumber kuman bakteri goblok pakai kondom bahan terpal ikan lele sekolah tolol
1,goblok tahun tolol akut
1,jago camat paruh karirnya tolol
1,orang tolol anggap begitu canda
1,kadrun tolol sembah baliho
1,sadar ya tolol
1,nya tolol akal
1,orang tolol percaya rasi rasian
1,dasar tolol bodoh sableng
1,ikut tuan melayu partai umno semenanjung indonesia cina etnis jawa etnis melayu akun denial tolol aku turun etnis jawa sadar murni etnis melayu
1,tolol tidak usah debat
1,tolol ajar
1,drama orang sama tolol senang
1,boca kayak babikk anjing goblok tolol mending minum baygon laku sampah banget
1,tolol
1,tolol hubung hukum mulut kayak mbok mbok kampung otak tai
1,miskin tingkah otak tolol pikir bus doang ditaker pikir buntut bus bikin bahaya serempet
1,turun etnis jawa murni etnis melayu semenanjung indonesia cina akun denial tolol coba lihat kartu identitas negara tulis etnis jawa melayu
1,sih manusia laknat agama slhin tolol banget isi otak
1,orang bodoh tolol kelahi t cowok yiaawlz
0,jir tolol wkwk ip kali bagus telepon genggam kini bagus
1,tolol sih anies gubernur memang banjir selesai parah banding orang sih anies
1,sayang tolol
1,manusia tolol semut seberang laut gajah pelupuk mata tampak eudaan
1,tidak jadi orang tolol
1,anak dakjal anak orang paksa minum alkohol kadar anjing tolol usut tuntas anak kayak wajib kasih hukum timpal halo punten
1,sabar ya mei manusia manusia tolol
1,bikin konten tolol
1,mahfud tolol aniaya akting konten media sosial
1,cak cuk cak cuk banget orang tolol komen bayar pajak sih cuk memgeluh pajak usaha siapa usaha blok blok mulut kayak bokong laku
1,tolol
